2021-09-07 15:04:48.233 [main] INFO  com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:/Users/wangyuelong/nacos/config
2021-09-07 15:04:48.263 [main] INFO  com.alibaba.nacos.client.config.impl.Limiter - limitTime:5.0
2021-09-07 15:04:48.377 [main] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[cms] & group[dev]
2021-09-07 15:04:48.420 [main] WARN  com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[cms.yml] & group[dev]
2021-09-07 15:04:48.463 [main] INFO  com.alibaba.nacos.client.config.utils.JVMUtil - isMultiInstance:false
2021-09-07 15:04:48.469 [main] INFO  org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-cms-dev.yml,dev'}, BootstrapPropertySource {name='bootstrapProperties-cms.yml,dev'}, BootstrapPropertySource {name='bootstrapProperties-cms,dev'}]
2021-09-07 15:04:48.472 [main] INFO  com.codezero.cms.CmsApplication - The following profiles are active: dev
2021-09-07 15:04:48.955 [main] WARN  org.mybatis.spring.mapper.ClassPathMapperScanner - No MyBatis mapper was found in '[com.codezero.cms]' package. Please check your configuration.
2021-09-07 15:04:49.008 [main] INFO  org.springframework.cloud.context.scope.GenericScope - BeanFactory id=ce16fd43-a4b2-3d0e-b40b-310159bf36e9
2021-09-07 15:04:49.070 [main] INFO  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-07 15:04:49.269 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8002 (http)
2021-09-07 15:04:49.278 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8002"]
2021-09-07 15:04:49.278 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-07 15:04:49.278 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.27]
2021-09-07 15:04:49.402 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-07 15:04:49.402 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 920 ms
2021-09-07 15:04:49.452 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-09-07 15:04:49.452 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-07 15:04:49.456 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-09-07 15:04:49.456 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-07 15:04:49.635 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-09-07 15:04:50.793 [main] INFO  org.springframework.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-09-07 15:04:50.799 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService 'Nacso-Watch-Task-Scheduler'
2021-09-07 15:04:50.806 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2021-09-07 15:04:50.807 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Environment :null
2021-09-07 15:04:50.807 [main] INFO  com.alibaba.nacos.client.naming - initializer namespace from System Property :null
2021-09-07 15:04:51.934 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8002"]
2021-09-07 15:04:51.956 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8002 (http) with context path ''
2021-09-07 15:04:51.958 [main] INFO  com.alibaba.nacos.client.naming - [BEAT] adding beat: {"cluster":"DEFAULT","ip":"10.32.17.52","metadata":{"preserved.register.source":"SPRING_CLOUD"},"period":5000,"port":8002,"scheduled":false,"serviceName":"dev@@CMS","stopped":false,"weight":1.0} to beat map.
